Group Name~`,Group Type~`,Category~`,Mission~`,Keywords~`,Link~`
Alpha Sigma Alpha~`,Fraternity & Sorority Life~`,Fraternity & Sorority Life~`,"The purpose of Alpha Sigma Alpha is to cultivate friendship among members who are known for their character and concern for others.
 
 Alpha Sigma Alpha is a women’s organization that promotes high ideals and standards for its members throughout their lives by emphasizing balance among our four aims of intellectual, physical, social and spiritual development.
 
 Alpha Sigma Alpha elevates the influence of women in the world. We inspire women to lead, to serve and most of all to make a difference.~`",ASA~`,https://dehub.depaul.edu/ASA/club_signup~`
Alpha Xi Delta~`,Fraternity & Sorority Life~`,Fraternity & Sorority Life~`,"The mission of Alpha Xi Delta Fraternity is to enrich the life of every Alpha Xi Delta. We will:
 Nurture unity and cooperation.
 Foster intellectual, professional and personal growth.
 Exemplify the highest ethical conduct.
 Instill community responsibility.
 Perpetuate fraternal growth.~`",AXiD~`,https://dehub.depaul.edu/AXiD/club_signup~`
American Constitution Society~`,General Student Organization~`,"Academic & Pre-Professional, Activist & Political~`","ACS DePaul is a group of students dedicated to reinfusing progressive values into American law and politics. We believe deeply in the importance of law as the mechanism which governs the relationships between and among the individuals and institutions that form our society, and we recognize the direct relationship between legal theory and the broader political debate about the kind of society in which we live.
 
 We believe that the law, and, in particular, the Constitution, serves human values. We believe that the Constitution is a charter of liberty, the blueprint for a noble and unique experiment designed to prevent the excesses of government in order to protect the human dignity necessary for individuals to realize the full potential of their lives. The goal of the Constitution, and the United States it created, is to permit the People to succeed in the ""pursuit of happiness,"" one of the inalienable rights this nation explicitly was founded to secure to the American people.
 
 We believe that the Constitution, and by extension, many other areas of American law, can be understood only by reference to principles of decency, reason, humanity, and compassion. We believe that those who enforce the law must have concern for the way in which it affects the lives of the people who make up the nation in which we live. And we believe these principles should form a starting point for enactment, as well as interpretation, of the law.
 
 The mission of ACS DePaul is to harness these values of compassion and respect for each individual, and to re-incorporate them into American law and politics, in order to build a stronger and more decent national community. We seek to restore the fundamental principles of respect for human dignity, protection of individual rights and liberties, genuine equality, and access to justice to their rightful — and traditionally central — place in American law. We want to strengthen the intellectual underpinnings of -- and the public case for -- a vision of the law in which these values are paramount. Our goal is a rekindling of the hope that by reason and decency, we can create an America that is better for us all.
 
 ACS DePaul seeks to honor the values of DePaul University through socially responsible leadership and Vincentian values. We believe in human dignity and the power of community.~`","Constitution, Law~`",https://dehub.depaul.edu/acs/home/~`
Anthropology Student Organization~`,General Student Organization~`,Academic & Pre-Professional~`,"The DePaul University Anthropological Student Organization provides an anthropological home outside of the classroom for all students actively pursuing an education at DePaul University. The mission of this organization is both inward and outward:
 Inward - We strive to create a space for students and friends of the department where community members can learn and grow through fellowship, group study, mentorship, and special events.
 Outward - Embodying our university’s Vincentian mission, we also work to advance public understanding of anthropology and form connections between anthropological institutions and ourselves.~`",Anthropology~`,https://dehub.depaul.edu/ASO/club_signup~`
Armenian Students' Cultural Association~`,General Student Organization~`,"Community Service & Engagement, Cultural~`","The Armenian Students’ Cultural Association (ASCA) at DePaul University has a mission and a purpose to educate, embrace, celebrate, and disseminate the rich Armenian history and culture, raise awareness on important Armenian issues, and educate its members and the DePaul community. ASCA’s activities will enrich DePaul University’s existing multicultural environment by engaging and welcoming to its ranks anyone interested in Armenian culture, history, and issues, regardless of their ancestry or origins.~`",Armenian~`,https://dehub.depaul.edu/ASCA/club_signup~`
Art & Cultural Heritage Law Society~`,Law Student Organization~`,Law~`,"The purpose of this organization is to put DePaul students in touch with the legal community, especially in those areas affecting museums, the art market, contemporary artists, and cultural heritage. The Society accomplishes this goal through mentoring, hosting networking events at DePaul and in the greater Chicago community, and hosting practicing professionals as speakers. The Society also works closely with professional organizations to offer DePaul students the chance to learn about the evolving and diverse legal landscape of art and cultural heritage law and its protection, and strives to provide practical opportunities for students within their chosen career field.~`","Art, Museums, Law~`",https://dehub.depaul.edu/ACHLS/club_signup~`
Asian Cultural Exchange~`,General Student Organization~`,Cultural~`,"The purpose of the Asian Cultural Exchange is to encourage the exchange of talents, knowledge, and experiences between its members and the DePaul community by preserving the richness and sanctity of the individual cultures and traditions that are part of the Asian/Pacific Islander/Desi American (APIDA)~`","APIDA, Asian, Pacific Islander, Desi American~`",https://dehub.depaul.edu/ACE/club_signup~`
Asian Pacific American Law Students Association~`,Law Student Organization~`,Law~`,"Foster a supportive community for Asian Pacific American law students at the law school; cultivate a greater understanding of Asian Pacific American legal culture; promote the needs of Asian Pacific American law students at DePaul University College of Law; and serve as a network for DePaul University College of Law Asian Pacific American law students, alumni, and community.~`","Asian Pacific American, Law~`",https://dehub.depaul.edu/APALSA2023/club_signup~`
Beta Alpha Psi~`,General Student Organization~`,Academic & Pre-Professional~`,"The mission of Beta Alpha Psi, the premier international honor and service organization for financial and business information students and professionals, is to inspire and support excellence by:
 • encouraging the study and practice of accountancy, finance, and information systems;
 • providing opportunities for service, professional development, and interaction among members and financial professionals; and
 • fostering lifelong ethical, social, and public responsibilities.~`",Business~`,https://dehub.depaul.edu/BAP/club_signup~`
Bilingual Speech Language Pathology Students for Diversity & Inclusion~`,General Student Organization~`,"Academic & Pre-Professional, Cultural~`","This organization seeks to facilitate bilingual speech language pathology student involvement, engagement and leadership development in order to advance the awareness, sensitivity and competence of bilingual issues in the field of speech language pathology. Additionally, it is the mission of this organization to promote initiatives pertaining to bilingual speech language pathology students through a social and professional platform whereby students can interact and collaborate.~`","Bilingual, Speech language pathology~`",https://dehub.depaul.edu/BSSDI/club_signup~`
Black Law Student Association~`,Law Student Organization~`,Law~`,"""The mission of BLSA is to increase the number of culturally responsible Black and minority attorneys who excel academically, succeed professionally, and positively impact the community.""~`",Law~`,https://dehub.depaul.edu/BCC/club_signup~`
Black Media Arts Club~`,General Student Organization~`,"Cultural, Entertainment & Performance~`","The Black Film Organization is meant to create a safe space for the population of black students studying film at DePaul to meet, congregate, work together, and create substantial relationships. We hope to strengthen the connection in the black film community at DePaul, not only between students themselves but with DePaul University as well. Through our organization, we hope to create a space where black film students can feel comfortable, and more inclined to be an active member on DePaul’s campus as a whole~`",Film~`,https://dehub.depaul.edu/BCMC/club_signup~`
Black Student Union~`,General Student Organization~`,"Community Service & Engagement, Cultural~`","The goal of DePaul's Black Student Union is to establish a unifying network within the black diaspora by exploring intersectionality of the black cultural experience. We aim to provide a space where students feel a sense of belonging through meaningful; programming, activities, and workshops. The Black Student Union fosters an atmosphere that promotes student's academic professional, social, and overall well-being.~`",Black culture~`,https://dehub.depaul.edu/BSU/club_signup~`
Blue Demon Theatre~`,General Student Organization~`,"Academic & Pre-Professional, Entertainment & Performance~`",The mission of Blue Demon Theatre is to inspire all DePaul students to be active theatre makers in the Chicago area.~`,Theatre~`,https://dehub.depaul.edu/BDT/club_signup~`
Blue Demons Hope for the Homeless~`,General Student Organization~`,"Activist & Political, Community Service & Engagement~`",to advocate for and provide resources to Chicago's unhoused population~`,"Homeless, Volunteer~`",https://dehub.depaul.edu/HFTH/club_signup~`
Bookmark DePaul~`,General Student Organization~`,Special Interest~`,Bookmark’s mission is to foster community and enrich feminine connection through reading and book club meetings.~`,"Reading, Book club~`",https://dehub.depaul.edu/Bookmark/club_signup~`
Business for Social Good~`,General Student Organization~`,"Academic & Pre-Professional, Community Service & Engagement~`","At B4SG, our primary focus is on DePaul students coming together to drive meaningful change. Through awareness-raising efforts and hands-on projects, we aim to create real, positive change within our communities. By harnessing the collective power of our members, we aspire to build a more equitable and compassionate world where DePaul students lead the way in making a lasting impact.~`",Business~`,https://dehub.depaul.edu/B4SG/club_signup~`
Business Law Society~`,Law Student Organization~`,Law~`,"The DePaul University College of Law Business Law Society is dedicated to bringing DePaul University College of Law students who are interested in business law together with business and commercial practitioners in Chicago. The goal is to foster interest and relationships within corporate law, business, entrepreneurship, regulation, and compliance. Outside of educational events, this Society will strive to host networking events to create relationships between current law students and the wide variety of DePaul alumni in the Chicago area. Working together with the various student organizations at DePaul University, like-minded individuals will be able to expand their networks, increase their knowledge of the different types of business law, and become better prepared for the business world after graduating from the College of Law. The Business Law Society will be based on the principles and ideals of networking, professionalism, legal services, and ethical practice.~`","Business, Law~`",https://dehub.depaul.edu/BLS/club_signup~`
Catholic Student Union~`,Religious & Spiritual~`,Religious & Spiritual~`,"The mission of CSU is to provide social experiences that encourage nourishment in fellowship, faith, and justice in a manner consistent with DePaul’s Catholic, Vincentian, and Urban mission. All activities, events, and members of CSU are called to uphold DePaul’s mission.~`","Catholic, Vincentian~`",https://dehub.depaul.edu/CSU/club_signup~`
Chabad Jewish Student Club at DePaul~`,Religious & Spiritual~`,Religious & Spiritual~`,To touch the heart of every student who crosses our path.~`,"Jewish, Chabad~`",https://dehub.depaul.edu/chabaddepaul/club_signup~`
Chi Omega~`,Fraternity & Sorority Life~`,Fraternity & Sorority Life~`,"Chi Omega is an intergenerational women’s organization forever committed to our founding purposes:
 Friendship
 Personal Integrity
 Service to Others
 Academic Excellence and Intellectual Pursuits
 Community and Campus Involvement
 Personal and Career Development~`",Chi Omega~`,https://dehub.depaul.edu/chiomega/club_signup~`
Chi Sigma Iota - Counseling Academic and Professional Honors Society~`,General Student Organization~`,Academic & Pre-Professional~`,"The mission of Chi Sigma Iota is to promote scholarship, research, professionalism, leadership, advocacy and excellence in counseling, and to recognize high attainment in the pursuit of academic and clinical excellence in the profession of counseling.~`",Counseling~`,https://dehub.depaul.edu/CSI/club_signup~`
Chinese Studies Association~`,General Student Organization~`,"Academic & Pre-Professional, Cultural~`",The purpose of the DePaul Chinese Studies Association is to serve the community of Chinese language learners by creating a network wherein students can utilize language skills and practice outside of the classroom.~`,Chinese~`,https://dehub.depaul.edu/CSA1/club_signup~`
Community Peacemakers~`,Departmental~`,Community Service & Engagement~`,"The Community Peacemakers Initiative (CPM) is a partnership between the Chicago Public Schools and DePaul University. CPM matches Peacemakers with high school teachers and their students. In the classroom, Peacemakers, in collaboration with their teacher, will facilitate a series of activities that explores the roots and systemic causes of violence, peace, and how the students can enact change. The activities culminate into a final Peace Project, where the students choose to use what they learned during the year to promote peace in their communities. Currently, CPM is only a group for enrolled students.~`","Community Service, Engagement~`",https://dehub.depaul.edu/CPM/club_signup~`
Computer Science Society~`,General Student Organization~`,"Academic & Pre-Professional, Special Interest~`","The Computer Science Society is for students at DePaul who are interested in computing, computer science, or just technology in general. This club is a resource that provides an opportunity for students at DePaul University to collaborate on computer science-related projects, expand their education outside the classroom, and to join a network of hardworking people both in school and in the field.~`",Computer science~`,https://dehub.depaul.edu/CSS/club_signup~`
Cru DePaul~`,Religious & Spiritual~`,Religious & Spiritual~`,"-To win, build, and send Christ-centered multiplying disciples who launch spiritual movements
 -To be a caring, Christian community passionate about connecting students to Jesus Christ~`","Christ, Christian~`",https://dehub.depaul.edu/Cru/club_signup~`
DeCode~`,General Student Organization~`,Academic & Pre-Professional~`,"To provide an open and welcoming space for all experience levels to learn different programming languages (such as Python, R, and SQL) and to apply them to our business education.~`","Coding, Programming, Computer Science~`",https://dehub.depaul.edu/DeCode/club_signup~`
Delta Alpha Pi~`,Departmenal~`,"Community Service & Engagement, Honorary~`","Because of the negative stereotyping associated with disability,
 students with disabilities have been reluctant to identify themselves
 publicly. Delta Alpha Pi International Honor Society presents an
 opportunity to change that perception by recognizing students with
 disabilities for their academic accomplishments.~`","Disability, Honor~`",https://dehub.depaul.edu/DAPi/club_signup~`
Delta Gamma~`,Fraternity & Sorority Life~`,Fraternity & Sorority Life~`,"Delta Gamma offers women of all ages a rich heritage based on principles of personal integrity, personal responsibility and intellectual honesty. Its primary purpose is to foster high ideals of friendship, promote educational and cultural interests, create a true sense of social responsibility, and develop the finest qualities of character.~`",DeeGee~`,https://dehub.depaul.edu/DeeGee/club_signup~`
Delta Kappa Alpha~`,Fraternity & Sorority Life~`,Academic & Pre-Professional~`,"The mission of Delta Kappa Alpha is to foster lifelong character, collaborative and creative storytelling, ethical and productive business practices, philanthropic action, and fraternal bonds by and between students of the cinematic arts.~`","Film, Cinema~`",https://www.dkadepaul.org/join-us~`
"Delta Phi Lambda Sorority, Inc.~`",Fraternity & Sorority Life~`,"Fraternity & Sorority Life, Cultural~`","Delta Phi Lambda Sorority Inc. advocates Asian awareness, empowers women leaders through its values-based programs, and forges Everlasting Sisterhood through diverse shared experiences.~`","Asian, Delta Phi Lambda~`",https://dehub.depaul.edu/DPhiL/club_signup~`
Delta Sigma Pi~`,General Student Organization~`,"Academic & Pre-Professional, Community Service & Engagement~`","Delta Sigma Pi is a professional fraternity organized to foster the study of business in universities; to encourage scholarship, social activity and the association of students for their mutual advancement by research and practice; to promote closer affiliation between the commercial world and students of commerce, and to further a higher standard of commercial ethics and culture and the civic and commercial welfare of the community.~`",Business~`,https://dehub.depaul.edu/DSP/club_signup~`
"Delta Sigma Theta Sorority, Inc.~`",Fraternity & Sorority Life~`,Fraternity & Sorority Life~`,"Delta Sigma Theta Sorority, Incorporated is an organization of college educated women committed to the constructive development of its members and to public service with a primary focus on the Black community.~`","DST, Black community~`",https://dehub.depaul.edu/DST/club_signup~`
Delta Zeta~`,Fraternity & Sorority Life~`,Fraternity & Sorority Life~`,"It was the founding of Delta Zeta Sorority, whose purpose is to create among a group of women a true and lasting friendship, to encourage one another in the pursuit of knowledge, to promote values-based living and embrace social responsibility.
 Each of us wants to make friends, learn new things and do something that matters. It’s part of the human experience. You might say it’s in our DNA, but that doesn’t make it any easier to do. But in 1902, six young women formed an organization that would help them move these ideas forward.~`",Delta Zeta~`,https://dehub.depaul.edu/DeltaZeta/club_signup~`
Demons on the Run~`,Club Sports~`,Club Sports~`,"It is the mission of the Demons on The Run Club (DORC) to inspire DePaul students to find a passion for running and to promote, through education; practices of safety as well as personal health while running. We seek to provide a safe and positive space for aspiring runners and to welcome them into the sport. We believe that running is a tool for the betterment of mental and physical health and an avenue for active meditation.~`",Running~`,https://dehub.depaul.edu/DORC/club_signup~`
DePaul Activities Board~`,General Student Organization~`,Entertainment & Performance~`,"The purpose of the DePaul Activities Board is to coordinate and sponsor events that will enhance student life in four unique ways:
 1. Promote community with and for the entire student population of DePaul University through planning and organizing diverse events
 2. Create a positive out of classroom experience for the student body
 3. Coordinate events working both solely and in conjunction with other organizations
 4. Increase active participation on campus, including involvement with DePaul Activities Board~`","Event Planning, DePaul Activities Board~`",https://dehub.depaul.edu/DAB/club_signup~`
DePaul Actuarial Science Club~`,General Student Organization~`,"Special Interest, Academic & Pre-Professional~`",The DePaul Actuarial Science Club promotes the study of actuarial science and the pursuit of actuarial careers by DePaul students.~`,Actuarial Science~`,https://dehub.depaul.edu/DePasc/club_signup~`
Depaul Animation Lodge~`,General Student Organization~`,"Community Service & Engagement, Special Interest~`","DePaul Animation Lodge works to build rapport and establish a network between the animation program students, faculty, alumni, and staff members. We seek to facilitate this community building through weekly and quarterly events, as well as the end of year showcase.~`","Animation, Technology~`",https://dehub.depaul.edu/DAL/club_signup~`
DePaul Archery~`,Club Sports~`,Club Sports~`,It is the mission of the DePaul Archery Club to facilitate a team where DePaul archers can meet and expand upon their interest in the sport in a safe and competitive way. We seek to increase student involvement and sportsmanship through Vincentian values. We believe in maintaining a positive space for archers to learn and improve.~`,Archery~`,https://dehub.depaul.edu/dpuarchery/club_signup~`
DePaul Artists Collective~`,General Student Organization~`,"Entertainment & Performance, Special Interest~`","It is the mission of the DePaul Artists Collective, also known as the “D.A.C” or “DAC”, to serve the students and the organizations of DePaul University through socially responsible leadership in resonance with the Vincentian values for inspiration, innovation, diversity and education through the interdisciplinary lens of art in search of a dialogue through the vast range of human experience and expression.~`",Art~`,https://dehub.depaul.edu/DAC/club_signup~`
DePaul Blue Crew~`,Departmental~`,"Community Service& Engagement, Special Interest~`",The DePaul Blue Crew is the official student spirit organization on campus. Its mission is to to advance school pride and affinity on campus as it relates to support of the Blue Demons intercollegiate athletics program. Blue Crew coordinates the student section at intercollegiate sports competitions and sponsor events that will enhance student life through school pride.~`,"School Spirirt, athletics~`",https://dehub.depaul.edu/BCREW/club_signup~`
DePaul Boxing Club~`,Club Sports~`,Club Sports~`,"The purpose of this organization is to receive DePaul students who are interested in boxing to be able to learn and practice in a more intensive setting with an emphasis on more advanced training. Students not necessarily interested in boxing, but interested in areas related to exercise science, physical therapy, sports medicine and other such fields would also be welcome to learn through participation in this organization. The values of this organization are discipline, commitment, teamwork, and humility which would all be expected of students looking to become members to adhere to.~`",Boxing~`,https://dehub.depaul.edu/DBC/club_signup~`
DePaul Business Analytics Network~`,General Student Organization~`,Academic & Pre-professional~`,"Here at the Business Analytics Club, we welcome you to join us in creating a community surrounded by our mutual interest in business analytics. As we come together may we build a club not only satisfying our interest in learnings ways to improve business decisions by turning data into insights but, in learning from already established business analytic mentors and in connecting with one another. We aim to boost your confidence in your knowledge regarding the numerous career prospects surrounding business analytics. As we welcome each one of you, we hope you gain more than business analytic knowledge but gain student connections that go beyond academics.~`","Business, Business analytics~`",https://dehub.depaul.edu/DBAN/club_signup~`
DePaul CEO~`,General Student Organization~`,"Academic & Pre-professional, Special Interest~`","DePaul CEO’s mission is to inform, support and inspire college students to be entrepreneurial and seek opportunity through enterprise creation. With a diverse entrepreneurial community and global network, CEO provides student entrepreneurs with opportunities, events, chapter activities and conferences to help start businesses. Through DePaul’s mission and values, we strive to give DePaul students the opportunity to grow their knowledge about entrepreneurship by providing tools to enhance their understanding and access to developmental resources.~`","Business, Entrepreneurship~`",https://dehub.depaul.edu/DPCEO/club_signup~`
DePaul CHAARG~`,General Student Organization~`,Special Interest~`,"CHAARG aims to ignite a passion in college-aged girls for health + fitness. Too many college girls rely solely on the elliptical for their exercise. CHAARG liberates girls from the elliptical + shows them that fitness can [+ SHOULD] be fun! Since every girl has a different preference of what fun is, we create opportunities for our CHAARG girls to “find their fit.”
 Once a girl joins CHAARG, she is welcomed into a supportive + empowering community of 10,000+ girls! When you workout, you feel good – but, when you surround yourself with people to support you, you feel even better. CHAARG combines good friends + a good workout to keep every girl feeling her happiest + healthiest self.~`",Fitness~`,https://dehub.depaul.edu/CHAARG/club_signup~`
DePaul Chemistry Club~`,General Student Organization~`,"Academic & Pre-Professional, Special Interest~`","The mission statement of the DePaul Chemistry Club is to promote interest and engagement in chemistry among the DePaul University community. We aim to provide opportunities for academic enrichment, professional development, and social interaction for students interested in chemistry. Our goal is to cultivate a supportive and inclusive environment that fosters learning, collaboration, and leadership in the field of chemistry.~`","Chemistry, Science~`",https://dehub.depaul.edu/DCHEM/club_signup~`
DePaul Chinese Students and Scholars Association~`,General Student Organization~`,"Cultural, Entertainment & Performance~`",Chinese Students and Scholars Association as a students organization has strongly influenced by Chinese culture. The cultural influence of CSSA would contribute its diversity to DePaul University.~`,"China, Culture~`",https://dehub.depaul.edu/cssa/home/~`
DePaul Cliffhangers Climbing~`,Club Sports~`,Club Sports~`,To provide a safe environment for new and experienced climbers.~`,Rock Climbing~`,https://dehub.depaul.edu/Climbingclub/club_signup~`
DePaul Cloud Organization~`,General Student Organization~`,Academic & Pre-Professional~`,"Our mission is to leverage DePaul University's skills and resources to build a strong foundation in cloud technology and related fields. We aim to stay at the forefront of industry innovation while fostering a sense of academic excellence that aligns with DePaul's mission and values. By integrating cutting-edge research and practical applications, we seek to empower students and with the help of faculty to drive transformative advancements in technology. Our commitment to collaboration and continuous learning ensures that we remain leaders in shaping the future of cloud technology and its impact on society.~`",Technology~`,https://dehub.depaul.edu/DCO/club_signup~`
DePaul Club Badminton~`,Club Sports~`,Club Sports~`,"To promote the sport of badminton in the DePaul community, while providing a fun and inclusive space for members to enjoy playing badminton, practice their skills, meet new people and be a part of a larger community.~`",Badminton~`,https://dehub.depaul.edu/depaulbadmintonclub/club_signup~`
DePaul Club Golf~`,Club Sports~`,Club Sports~`,"The mission of the DePaul Club Golf Team is to serve the student body of DePaul University through socially responsible leadership and the Vincentian values. We seek to facilitate student involvement in competitive and recreational golf all while creating a diverse, inclusive, and inspiring group of young men and women to learn, grow, and enjoy the game of golf as it is meant to be played.~`",Golf~`,https://dehub.depaul.edu/depaulclubgolf/club_signup~`
DePaul Club Ice Hockey~`,Club Sports~`,Club Sports~`,Our Mission is to provide Depaul Students with the opportunity to continue playing ice hockey while getting their education at the University.~`,"Ice Hockey, Hockey~`",https://dehub.depaul.edu/icehockey/club_signup~`
DePaul Club Tennis~`,Club Sports~`,Club Sports~`,Allow all students to play tennis on campus.~`,Tennis~`,https://dehub.depaul.edu/DCT/club_signup~`
DePaul College of Law Child and Family Law Association~`,Law Student Organization~`,Law~`,"The CFLA cultivates interest in and understanding in Child & Family Law and is designed to foster communication between DePaul College of Law students, the greater Chicago community, faculty, and organizations in this area of law.~`",Family Law~`,https://dehub.depaul.edu/CFLA/club_signup~`
DePaul Community Service Association~`,General Student Organization~`,Community Service & Engagement~`,"The DePaul Community Service Association (DCSA) seeks to promote the dignity of all by following the example of St. Vincent de Paul and St. Louise de Marillac. The function of DCSA is twofold: (1) to provide meaningful volunteer opportunities to DePaul students who serve our community partners in sustained, mutually beneficial relationships and (2) to promote interfaith prayer, reflection, and social justice rooted in Vincentian values. DCSA Coordinators and Senior Teamers dedicate themselves to spiritual growth, service, justice and community building through their work in DCSA. Their commitment to the spirit of Vincentians In Action (VIA), our larger community, the way we reflect on our efforts to fight injustice with systemic change, and our Vincentian way to live life and the lens through which we see the world.~`","Community service, Volunteer~`",https://dehub.depaul.edu/DCSA/club_signup~`
DePaul Consulting Group~`,General Student Organization~`,Academic & Pre-Professional~`,"This organization's mission is to serve the academic and professional growth of undergraduate and graduate students and alumni of DePaul. With utmost social responsibility, this association seeks to facilitate skill development, network proliferation, and career preparation for the field of consulting. Our mission is to be carried out with the values of respect, collaboration, diversity, integrity, and community.~`",Consulting~`,https://dehub.depaul.edu/DePaulCC/club_signup~`
DePaul Cosplay Club~`,General Student Organization~`,"Community Service & Engagement, Special Interest~`","Our mission is to promote, encourage, teach, study, create, and discuss cosplay (aka costume play) and related subjects (photography, makeup effects, costuming, theater arts, prop creation, wig styling/creation, etc.) with any DePaul community member interested in any aspect of the subject. It is also to encourage and foster positivity and community among those interested in cosplay.~`",Cosplay~`,https://dehub.depaul.edu/DCC/club_signup~`
DePaul Dance Company~`,Club Sports~`,Club Sports~`,"The DePaul Dance Company is looking for DePaul students who have a passion for dance and performance. We are looking for dancers at both regular and advanced levels for the following teams: Tap, Lyrical, Jazz, Musical Theatre, Hip-Hop, Modern/Contemporary, and Ballet/Pointe.~`",Dance~`,https://dehub.depaul.edu/DDC/club_signup~`
